Record Number,LandGroupLU,PointID,Date,Temperature,Wind,Sky,StartTime,EndTime
276,SS,0,6/10/2008,29,0,0,8:16:00 AM,8:28:00 AM
15,SS,5,6/11/2008,20,0,1,6:11:00 AM,6:23:00 AM
278,SS,8,6/10/2008,30,0,0,9:40:00 AM,9:52:00 AM
277,SS,10,6/10/2008,28,0,0,8:53:00 AM,9:05:00 AM
12,SS,47,6/10/2008,21,0,0,6:39:00 AM,6:51:00 AM
68,SS,52,6/11/2008,20,0,1,6:40:00 AM,6:52:00 AM
13,SS,58,6/10/2008,22.5,0,0,7:14:00 AM,7:26:00 AM
72,SS,61,6/10/2008,20,0,0,6:07:00 AM,6:19:00 AM
14,SS,63,6/10/2008,23.5,0,0,8:02:00 AM,8:14:00 AM
73,SS,65,6/10/2008,22,0,0,7:02:00 AM,7:24:00 AM
70,SS,72,6/10/2008,24,0,0,8:15:00 AM,8:27:00 AM
69,SS,75,6/10/2008,22,0,0,7:40:00 AM,7:52:00 AM
71,SS,84,6/10/2008,27,0,0,8:46:00 AM,8:58:00 AM
238,LC,85,6/24/2010,25,0,1,8:05:00 AM,8:17:00 AM
217,LC,89,6/21/2010,27,1,0,9:15:00 AM,9:27:00 AM
216,LC,90,6/21/2010,26,0,0,8:36:00 AM,8:48:00 AM
125,LC,96,6/14/2010,23,0,0,6:42:00 AM,6:54:00 AM
124,LC,97,6/15/2010,20,0,0,6:12:00 AM,6:24:00 AM
126,LC,116,6/15/2010,23,0,0,7:17:00 AM,7:29:00 AM
212,LC,126,6/21/2010,23,0,0,7:44:00 AM,7:56:00 AM
165,LC,133,6/17/2010,27,1,1,8:50:00 AM,9:02:00 AM
210,LC,135,6/23/2010,26,1,1,9:38:00 AM,9:50:00 AM
237,LC,137,6/24/2010,24,1,1,7:08:00 AM,7:20:00 AM
213,LC,139,6/21/2010,27,0,0,6:55:00 AM,7:07:00 AM
164,LC,147,6/17/2010,21,0,1,7:11:00 AM,7:23:00 AM
215,LC,154,6/21/2010,19,0,0,6:10:00 AM,6:22:00 AM
158,LC,155,6/16/2010,21,1,1,6:23:00 AM,6:35:00 AM
163,LC,160,6/17/2010,20,0,1,6:14:00 AM,6:26:00 AM
207,LC,161,6/23/2010,24,1,0,6:29:00 AM,6:41:00 AM
159,LC,165,6/16/2010,24,1,1,6:45:00 AM,6:57:00 AM
160,LC,166,6/16/2010,22,1,1,7:19:00 AM,7:31:00 AM
127,LC,171,6/15/2010,30,1,0,7:47:00 AM,7:59:00 AM
208,LC,174,6/23/2010,25,0,1,7:32:00 AM,7:44:00 AM
209,LC,175,6/23/2010,25,1,1,7:54:00 AM,8:06:00 AM
128,LC,180,6/15/2010,26,1,0,8:19:00 AM,8:31:00 AM
129,LC,187,6/15/2010,28,1,0,8:45:00 AM,8:57:00 AM
130,LC,188,6/15/2010,26,1,0,9:16:00 AM,9:28:00 AM
162,LC,202,6/16/2010,23,2,1,9:21:00 AM,9:33:00 AM
236,LC,204,6/28/2010,24,0,0,6:38:00 AM,6:50:00 AM
131,LC,213,6/15/2010,28,2,0,10:01:00 AM,10:13:00 AM
161,LC,214,6/16/2010,22,1,1,8:30:00 AM,8:42:00 AM
241,LC,217,6/28/2010,25,2,0,7:48:00 AM,8:00:00 AM
166,LC,238,6/17/2010,30,1,1,9:40:00 AM,9:52:00 AM
240,LC,240,6/28/2010,27,1,1,8:39:00 AM,8:41:00 AM
205,LC,246,6/22/2010,21,0,0,7:05:00 AM,7:17:00 AM
214,LC,250,6/17/2010,25,1,0,9:10:00 AM,9:22:00 AM
206,LC,260,6/22/2010,24,1,1,7:51:00 AM,8:03:00 AM
220,LC,268,6/25/2010,26,0,2,7:14:00 AM,7:26:00 AM
239,LC,283,6/24/2010,28,2,1,10:00:00 AM,10:12:00 AM
219,LC,296,6/25/2010,28,0,1,7:53:00 AM,8:05:00 AM
258,LC,299,6/15/2010,26,0,1,8:48:00 AM,9:00:00 AM
257,LC,300,6/15/2010,24,0,1,8:16:00 AM,8:28:00 AM
254,LC,301,6/15/2010,23,0,1,6:22:00 AM,6:34:00 AM
256,LC,302,6/15/2010,24,0,1,7:45:00 AM,7:57:00 AM
218,LC,311,6/25/2010,27,0,1,8:30:00 AM,8:42:00 AM
255,LC,317,6/15/2010,25,0,1,7:09:00 AM,7:21:00 AM
226,LC,325,6/23/2010,29,2,0,9:46:00 AM,9:58:00 AM
259,LC,333,6/16/2010,22,0,2,6:14:00 AM,6:26:00 AM
186,LC,338,6/18/2010,23,0,1,7:11:00 AM,7:23:00 AM
187,LC,339,6/18/2010,24,0,1,7:50:00 AM,8:02:00 AM
188,LC,341,6/18/2010,25,1,1,8:50:00 AM,9:02:00 AM
