PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
47,SS,11/15/2008,11:45:00 AM,GR,BMCOMO,M,32,22,78,85,163,,1
90,LC,10/27/2010,9:26:00 AM,GR,BMCOMO,M,34,22,74,92,166,,1
96,LC,11/14/2010,1:31:00 PM,GR,BMHCRA,F,144,27,97,142,239,,1
135,LC,11/3/2010,10:00:00 AM,GR,BMCOMO,F,31,22,76,91,167,,1
137,LC,11/4/2010,11:13:00 AM,GR,BMSSSH,,10,12,22,58,80,,1
154,LC,10/26/2010,10:15:00 AM,GR,BMWHMO,F,19,19,62,70,132,,1
154,LC,10/27/2010,11:39:00 AM,GR,BMWHMO,M,18,17,67,75,142,,1
154,LC,10/28/2010,11:10:00 AM,GR,BMWHMO,M,21,19,74,82,156,,1
154,LC,10/28/2010,11:15:00 AM,GR,BMWHMO,F,24,20,70,80,150,,
161,LC,11/4/2010,9:45:00 AM,GR,BMWHMO,M,16,20,68,64,132,,1
161,LC,11/4/2010,9:50:00 AM,GR,BMWHMO,M,24,20,74,76,150,,
165,LC,10/26/2010,9:39:00 AM,GR,BMMouse,M,13,21,54,55,109,Juvenile,1
165,LC,10/28/2010,10:00:00 AM,GR,BMEAMO,M,7,14,47,54,101,,1
171,LC,10/26/2010,10:15:00 AM,GR,BMWHMO,F,36,18,68,88,156,Pregnant,1
175,LC,10/27/2010,10:35:00 AM,GR,BMCOMO,F,31,23,85,86,171,,1
217,LC,10/27/2010,9:15:00 AM,GR,BMCOMO,M,37,22,46,86,132,,1
250,LC,11/3/2010,9:30:00 AM,GR,BMWHMO,F,26,19,65,85,150,,1
250,LC,11/3/2010,9:35:00 AM,GR,BMWHMO,M,21,19,66,73,139,,
250,LC,11/4/2010,10:15:00 AM,GR,BMWHMO,F,26,19,68,70,138,,1
250,LC,11/4/2010,10:17:00 AM,GR,BMWHMO,M,26,19,64,69,133,,
250,LC,11/5/2010,9:20:00 AM,GR,BMWHMO,F,26,18,65,72,132,,1
300,LC,11/8/2010,11:08:00 AM,GR,BMWHMO,F,23,21,66,84,150,,1
301,LC,10/25/2010,9:00:00 AM,GR,BMCOMO,M,,,,,,Released due to poor condition,1
301,LC,10/25/2010,9:01:00 AM,GR,BMCOMO,M,31,22,79,74,153,,
301,LC,10/26/2010,9:10:00 AM,GR,BMCOMO,F,32,24,89,101,190,,1
301,LC,10/26/2010,11:15:00 AM,GR,BMCOMO,F,22,17,71,75,146,,
301,LC,10/27/2010,11:18:00 AM,GR,BMCOMO,F,30,25,87,80,167,,1
302,LC,10/25/2010,9:25:00 AM,GR,BMCOMO,F,37,22,66,79,145,,1
